provider_state,avg_state_payment
MA,477.50116303370316
NV,472.20379863636151
CA,471.67159229484525
NJ,445.09754519744473
CT,437.90304497740652
HI,431.00000601542422
WA,420.41823971532011
DE,416.84585769791772
ND,416.42636069883861
RI,406.52374230720721
AZ,403.291742112296
DC,399.05103167507855
NE,395.61311549977847
NY,395.259476884543
MN,392.449690043183
WY,390.17240206662774
NM,384.55017343149296
MO,384.50783797223158
NH,384.28061505739436
VA,383.00298122111491
AK,382.53443572276285
VT,377.74687171098009
IL,376.9219963712784
SD,375.86085423445564
IN,375.67322113557941
NC,370.09444386953163
ME,369.3223198831397
FL,368.77250926429707
PA,367.48179217705024
OH,367.33493729694214
MI,367.11502276605307
WI,366.21497240370542
KY,364.57023444255907
CO,363.31751201257009
IA,363.164286709436
UT,361.70039914118763
WV,361.49582270128633
KS,360.92038123763928
TX,360.81804584280837
OR,359.79053140111921
SC,359.68560016342349
GA,357.23238412694292
MT,348.19371566952509
TN,348.12083655955445
OK,347.59951004512442
AR,340.34430315109989
AL,339.69044865319978
ID,335.90391605984729
LA,329.59862341646232
MS,319.86278063052526