apc,avg_procedure_payment
0074 - Level IV Endoscopy Upper Airway,1920.4058890154649
0017 - Level IV Debridement & Destruction,1302.298558625
0203 - Level IV Nerve Injections,1253.9923036786449
0073 - Level III Endoscopy Upper Airway,1170.3202011019609
0377 - Level II Cardiac Imaging,1088.0978152425002
0020 - Level II Excision/ Biopsy,794.37615029341043
0207 - Level III Nerve Injections,598.62967869992781
0270 - Level II Echocardiogram Without Contrast,572.98914338237171
0269 - Level I Echocardiogram Without Contrast,404.94590642238859
0633 - Level 3 Examinations & Related Services,369.66782251602729
0019 - Level I Excision/ Biopsy,356.12359933710314
0206 - Level II Nerve Injections,351.5752841277428
0231 - Level III Eye Tests & Treatments,317.22067275887417
0096 - Level II Noninvasive Physiologic Studies,315.34552320461717
0336 - Magnetic Resonance Imaging and Magnetic Resonance Angiography without Contrast,276.013983830075
0369 - Level II Pulmonary Tests,225.75072654427788
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",216.84831763743048
0204 - Level I Nerve Injections,197.8420854824559
0267 - Level III Diagnostic and Screening Ultrasound,175.04602897106611
0015 - Level II Debridement & Destruction,131.82298150051619
0692 - Level II Electronic Analysis of Devices,121.40623190346092
0632 - Level 2 Examinations & Related Services,102.48206904593722
0698 - Level II Eye Tests & Treatments,97.837060149702438
0634 - Hospital Clinic Visits,94.518865083631084
0265 - Level I Diagnostic and Screening Ultrasound,87.327995443613759
0012 - Level I Debridement & Destruction,86.3946602252156
0631 - Level 1 Examinations & Related Services,46.817631180584478
0690 - Level I Electronic Analysis of Devices,33.930997624853326