provider_state,estimated_total_payments,payment_rank
CA,397017233.58,1
NY,282081143.08,2
IL,278783983.12,3
OH,275928340.56,4
TX,274414589.37,5
MA,273202234.97,6
MI,244511758.37,7
PA,238404660.63,8
FL,199895114.26,9
NC,176134203.93,10
VA,166985156.75,11
WA,157781044.4,12
MO,152307309.48,13
WI,147576819.92,14
MN,143949408.71,15
NJ,141104044.3,16
IN,124853504.25,17
GA,123587981.09,18
OK,94288222.97,19
TN,91880507.74,20
KY,88775942.11,21
ME,86694331.35,22
CT,79699062.75,23
LA,76699998.06,24
AR,75110717.81,25
NH,74016561.54,26
SC,71313715.46,27
AL,69308048.24,28
IA,68284762.38,29
CO,64208166.89,30
KS,58571795.06,31
OR,58215953.62,32
ND,54450212.99,33
SD,53345813.62,34
AZ,51918225.91,35
WV,51676996.28,36
ID,47080753.05,37
MS,46974976.74,38
MT,43497201.24,39
NM,37154629.33,40
UT,37127638.07,41
VT,33921698.74,42
NE,27978992.21,43
DE,24639368.92,44
NV,19497637.39,45
RI,18014379.52,46
HI,14833599.67,47
DC,14409943.84,48
WY,6402609.57,49
AK,5674227.76,50